DATE,SPASTT01CHM661N
1960-01-01,4.29272209163019
1960-02-01,4.2596780447387
1960-03-01,4.25066603195012
1960-04-01,4.44893031329903
1960-05-01,4.94759502093416
1960-06-01,5.38617964331205
1960-07-01,5.31408354100336
1960-08-01,5.92690041062726
1960-09-01,5.92990441489013
1960-10-01,5.8758323381586
1960-11-01,5.98998450014737
1960-12-01,6.04105257261603
1961-01-01,6.68691348913142
1961-02-01,6.84312171080026
1961-03-01,7.16755417118938
1961-04-01,7.64519084898448
1961-05-01,8.05373542873376
1961-06-01,8.27002373565984
1961-07-01,7.58511076372724
1961-08-01,7.29973035875532
1961-09-01,7.5400506997843
1961-10-01,7.97262731363647
1961-11-01,8.59746020031182
1961-12-01,8.9339086777524
1962-01-01,9.03604482268972
1962-02-01,9.35146527029026
1962-03-01,9.52870152179913
1962-04-01,9.09912891220982
1962-05-01,7.63317483193303
1962-06-01,7.06842203051493
1962-07-01,7.47095860173847
1962-08-01,7.52803468273285
1962-09-01,6.95426986852616
1962-10-01,6.50366922909682
1962-11-01,7.46495059321275
1962-12-01,7.25166629054953
1963-01-01,7.0383819878863
1963-02-01,6.87015774916602
1963-03-01,7.00533794099482
1963-04-01,7.39585849516692
1963-05-01,7.62416281914445
1963-06-01,7.26368230760098
1963-07-01,7.2937223502296
1963-08-01,7.52803468273285
1963-09-01,7.37783446958974
1963-10-01,7.1585421584008
1963-11-01,7.30573836728105
1963-12-01,7.1345101242979
1964-01-01,7.0383819878863
1964-02-01,6.96628588557761
1964-03-01,6.85814173211457
1964-04-01,6.59078535271983
1964-05-01,6.33544499037653
1964-06-01,6.33244098611367
1964-07-01,6.80707365964591
1964-08-01,6.608809378297
1964-09-01,6.55473730156548
1964-10-01,6.50066522483396
1964-11-01,6.55173329730262
1964-12-01,6.52770126319972
1965-01-01,6.4976612205711
1965-02-01,6.62082539534845
1965-03-01,6.30840895201077
1965-04-01,6.17022475591911
1965-05-01,5.75867617190698
1965-06-01,5.8127482486385
1965-07-01,5.74666015485553
1965-08-01,6.20927681133632
1965-09-01,6.17623276444483
1965-10-01,6.06508460671893
1965-11-01,5.90587238078723
1965-12-01,5.95393644899302
1966-01-01,6.48864920778251
1966-02-01,6.41354910121095
1966-03-01,6.11014467066186
1966-04-01,6.04405657687889
1966-05-01,5.84278829126712
1966-06-01,5.71061210370118
1966-07-01,5.56041189055807
1966-08-01,5.19993137901459
1966-09-01,5.3110795367405
1966-10-01,5.25400345574612
1966-11-01,4.81541883336822
1966-12-01,5.10680724686586
1967-01-01,5.55440388203234
1967-02-01,5.61147996302672
1967-03-01,5.6295039886039
1967-04-01,5.71962411648977
1967-05-01,5.55139987776948
1967-06-01,5.50934381808941
1967-07-01,5.6535360227068
1967-08-01,6.27836890938215
1967-09-01,6.6568734465028
1967-10-01,6.38050505431947
1967-11-01,6.76201359570298
1967-12-01,7.37783446958974
1968-01-01,7.1585421584008
1968-02-01,7.41989052926981
1968-03-01,8.1378475480939
1968-04-01,8.36915587633429
1968-05-01,8.78370846460928
1968-06-01,9.01501679284968
1968-07-01,8.78070446034642
1968-08-01,8.95193270332957
1968-09-01,9.03604482268972
1968-10-01,9.26134514240439
1968-11-01,9.705937773308
1968-12-01,10.1355103828973
1969-01-01,10.5170189242808
1969-02-01,10.3728267196634
1969-03-01,10.2406505320975
1969-04-01,11.1598758365333
1969-05-01,11.3070720454136
1969-06-01,10.3758307239263
1969-07-01,9.87416201202829
1969-08-01,10.0393822464857
1969-09-01,9.75099783725094
1969-10-01,10.8774994358243
1969-11-01,10.5260309370694
1969-12-01,10.4088747708178
1970-01-01,10.1565384127373
1970-02-01,9.98230616549133
1970-03-01,9.86214599497684
1970-04-01,8.96995672890675
1970-05-01,8.75366842198066
1970-06-01,8.68457632393483
1970-07-01,9.22529709125004
1970-08-01,9.60980963689641
1970-09-01,9.31842122339877
1970-10-01,9.24632512109008
1970-11-01,8.88284060528374
1970-12-01,9.10814092499841
1971-01-01,9.79605790119387
1971-02-01,9.84412196939967
1971-03-01,10.2406505320975
1971-04-01,10.6311710862696
1971-05-01,10.0003301910685
1971-06-01,10.3277666557205
1971-07-01,10.6461911075839
1971-08-01,10.5530669754352
1971-09-01,10.0574062720629
1971-10-01,9.3875133214446
1971-11-01,10.120490361583
1971-12-01,10.3037346216176
1972-01-01,10.9345755168187
1972-02-01,11.4092081903509
1972-03-01,11.5984604589112
1972-04-01,11.646524527117
1972-05-01,12.4515976695641
1972-06-01,11.3911841647737
1972-07-01,12.1331732177007
1972-08-01,12.6198219082844
1972-09-01,12.6228259125473
1972-10-01,12.4005295970955
1972-11-01,11.7036006081114
1972-12-01,12.2082733242723
1973-01-01,12.2323053583752
1973-02-01,11.6615445484313
1973-03-01,11.5954564546484
1973-04-01,11.0276996489674
1973-05-01,11.2349759431049
1973-06-01,11.0547356873332
1973-07-01,10.1355103828973
1973-08-01,9.93123809302268
1973-09-01,10.5380469541209
1973-10-01,10.9225594997672
1973-11-01,9.77202586709097
1973-12-01,9.51968950901054
1974-01-01,10.0574062720629
1974-02-01,9.36948929586743
1974-03-01,9.40854135128464
1974-04-01,9.00300077579823
1974-05-01,8.02669939036799
1974-06-01,8.25500371434552
1974-07-01,8.23397568450549
1974-08-01,7.1345101242979
1974-09-01,6.36548503300516
1974-10-01,6.73197355307435
1974-11-01,6.47663319073106
1974-12-01,6.107140666399
1975-01-01,7.31174637580677
1975-02-01,7.56708673815006
1975-03-01,7.83444311754481
1975-04-01,8.28203975271129
1975-05-01,7.99365534347651
